iter	RMSE
0	6101.400725
1	5659.217595
2	5285.319145
3	4959.111511
4	4629.288949
5	4334.122086
6	4055.078528
7	3813.060828
8	3578.855666
9	3370.084646
10	3179.217257
11	3005.013539
12	2837.022528
13	2691.225601
14	2560.55194
15	2446.693781
16	2335.448844
17	2235.643964
18	2139.449943
19	2051.076414
20	1975.367098
21	1900.850189
22	1834.740747
23	1771.273325
24	1716.750507
25	1665.793519
26	1618.277251
27	1574.128103
28	1534.970836
29	1497.095935
30	1464.030363
31	1430.868042
32	1404.945471
33	1376.810251
34	1352.251701
35	1332.317632
36	1309.501033
37	1289.342775
38	1272.080982
39	1253.421295
40	1237.219189
41	1221.291499
42	1206.998352
43	1195.407505
44	1183.316754
45	1171.408535
46	1160.804933
47	1148.066462
48	1137.20668
49	1127.518287
50	1117.336793
51	1108.955271
52	1099.761505
53	1091.68139
54	1085.470941
55	1077.943437
56	1072.028071
57	1063.013007
58	1057.564167
59	1050.782403
60	1044.529769
61	1040.081237
62	1035.022794
63	1027.997263
64	1023.707404
65	1019.005582
66	1013.815539
67	1009.142126
68	1004.92066
69	1000.268824
70	996.3082488
71	993.3479576
72	990.3011693
73	987.0841603
74	984.034307
75	980.7804091
76	976.5687992
77	971.8804841
78	968.1474849
79	964.0289752
80	960.3879089
81	957.1597047
82	954.3695507
83	951.6088914
84	948.8495778
85	945.0115223
86	942.4390059
87	939.3396122
88	936.6824209
89	934.1616364
90	931.6742255
91	929.281677
92	927.1768333
93	923.3107471
94	921.5265344
95	918.8225419
96	916.3563958
97	913.6841
98	912.2046368
99	909.9215655
100	908.080967
101	906.1360993
102	903.6657553
103	900.8216352
104	898.2373966
105	896.8170559
106	895.534743
107	893.2763591
108	891.6913381
109	890.0865994
110	888.927906
111	887.3597866
112	885.2806183
113	883.9323186
114	882.5210025
115	881.269964
116	879.4948523
117	878.0444107
118	876.0294375
119	874.6415647
120	873.1187998
121	871.2273983
122	869.7366563
123	868.8093008
124	867.2369404
125	866.1525022
126	864.7564521
127	863.5916622
128	862.1306521
129	860.1571641
130	859.0371276
131	858.1842756
132	857.1466036
133	855.9165762
134	854.893878
135	853.5159861
136	852.1999181
137	851.2695757
138	850.1720685
139	849.2280176
140	848.3288072
141	847.2471023
142	846.0823881
143	845.0505009
144	843.3730076
145	842.4911269
146	841.4703716
147	840.7183249
148	839.4662156
149	838.3031142
150	837.0996363
151	836.1650197
152	834.935384
153	833.4220388
154	832.6610314
155	831.7499625
156	830.6251631
157	829.3719399
158	828.307919
159	827.6090809
160	826.5269008
161	825.7587635
162	825.0520315
163	824.3900101
164	823.6750736
165	822.8443606
166	822.3474071
167	821.2618756
168	820.5138719
169	819.7895612
170	819.1123255
171	818.5651296
172	817.2925337
173	816.3239273
174	815.8566051
175	814.9663391
176	813.7561188
177	812.9199792
178	811.9283243
179	810.9169164
180	810.0887047
181	809.4525204
182	808.6052416
183	807.9610485
184	807.4373188
185	806.887666
186	806.1266569
187	805.1659642
188	804.096755
189	803.499655
190	802.9580997
191	802.342124
192	801.730966
193	800.8354871
194	800.3634249
195	799.607934
196	798.6460034
197	798.0077392
198	797.4924848
199	796.7750882
200	796.2790593
201	795.6626938
202	794.5880645
203	793.6630194
204	792.8813867
205	792.0706824
206	791.2873102
207	790.7286233
208	789.8010832
209	789.5139245
210	788.6098558
211	787.8027962
212	787.0868759
213	786.5832106
214	785.8456325
215	785.4042656
216	784.6590529
217	783.9053784
218	783.4955964
219	782.8265649
220	781.9826163
221	781.1568642
222	780.4524713
223	779.7741674
224	779.1545779
225	778.6441806
226	777.7467491
227	776.917695
228	776.2326432
229	775.8385164
230	775.3366434
231	774.9082776
232	773.6833247
233	773.2252218
234	772.7239852
235	771.903618
236	771.1580629
237	770.4931485
238	770.0182898
239	769.1354631
240	768.5981986
241	767.9842413
242	767.3540407
243	766.6629346
244	766.2772136
245	765.6424989
246	764.9451758
247	764.3883948
248	763.9592883
249	763.3133108
250	762.6259142
251	762.3552615
252	761.744886
253	761.2832359
254	760.9261808
255	760.290684
256	759.745638
257	759.3117527
258	758.6738589
259	757.8324465
260	757.2718575
261	756.5355159
262	756.1038213
263	755.4006049
264	754.775319
265	754.459426
266	753.8630618
267	753.1522382
268	752.6355486
269	752.2792394
270	751.4847476
271	750.7423054
272	750.0656831
273	749.46044
274	749.0790812
275	748.6680187
276	748.2728806
277	747.7821684
278	747.1457175
279	746.7282722
280	746.1125651
281	745.7252987
282	745.2551833
283	744.8672134
284	744.3321199
285	743.5916848
286	742.9475837
287	742.4711174
288	741.8828979
289	741.1385776
290	740.6268748
291	740.3134008
292	739.9663806
293	739.4531989
294	738.8940735
295	738.3640331
296	737.888379
297	737.3186833
298	736.7123696
299	736.1754891
300	735.4106043
301	735.0198596
302	734.380665
303	733.5344675
304	732.9487993
305	732.4962499
306	731.7739968
307	731.2909525
308	730.9916875
309	730.4787197
310	730.1584331
311	729.5200781
312	729.0979745
313	728.8216583
314	728.3564236
315	727.6185375
316	727.0888349
317	726.2732947
318	725.6810213
319	725.3222683
320	724.2893197
321	723.6456497
322	723.3856635
323	722.9194202
324	722.3387765
325	721.888589
326	721.4773881
327	720.8299306
328	720.3214918
329	719.8097157
330	719.4397805
331	719.0074148
332	718.5496655
333	718.1515323
334	717.7293332
335	717.2759531
336	716.6806354
337	715.919487
338	715.4371937
339	714.922384
340	714.4205804
341	713.975412
342	713.4198502
343	712.8044641
344	712.2626696
345	711.6386165
346	711.1605405
347	710.8097999
348	710.397317
349	709.8665978
350	709.4324799
351	708.9347859
352	708.5633282
353	707.9540942
354	707.4404092
355	706.9146696
356	706.3448719
357	705.8896526
358	705.3868132
359	705.0708018
360	704.3779574
361	704.0715173
362	703.6483847
363	703.3493145
364	702.8511799
365	702.2072768
366	701.7714509
367	701.2917392
368	700.8820299
369	700.2971053
370	699.6402988
371	699.1323236
372	698.7229235
373	697.8935025
374	697.3623882
375	696.985857
376	696.4508724
377	695.9977461
378	695.7085323
379	695.1813862
380	694.6382884
381	694.3376778
382	693.9498862
383	693.2918012
384	692.9425724
385	692.3657103
386	691.9674247
387	691.3790912
388	690.9440557
389	690.4839551
390	689.9851701
391	689.5047584
392	689.1932242
393	688.6550775
394	688.3298271
395	688.0086082
396	687.6645641
397	687.2138044
398	686.7932576
399	686.3313355
400	685.8751595
401	685.5282414
402	685.0066571
403	684.5128005
404	684.2507123
405	683.8735659
406	683.4096046
407	683.1420594
408	682.5657552
409	682.2138804
410	681.4776108
411	680.9140548
412	680.4112363
413	679.8725454
414	679.3179473
415	678.6695732
416	677.9218269
417	677.6295684
418	677.2083489
419	676.6289844
420	676.2811885
421	675.6013382
422	675.3760767
423	674.8955194
424	674.6399658
425	674.161904
426	673.9082862
427	673.4687285
428	673.0190904
429	672.6116794
430	672.0914533
431	671.8160464
432	671.3511236
433	670.8659115
434	670.6638959
435	670.3829408
436	669.952785
437	669.5815644
438	669.0581129
439	668.4960503
440	668.1271807
441	667.7382557
442	667.1458677
443	666.7099992
444	666.4574121
445	666.0499765
446	665.6565875
447	665.3925662
448	664.9425246
449	664.4660951
450	663.9967764
451	663.433802
452	662.912795
453	662.4968975
454	661.9442316
455	661.568927
456	661.2292821
457	660.9017865
458	660.2616534
459	659.8529344
460	659.2633842
461	658.5786365
462	657.9776483
463	657.6549628
464	657.2631672
465	656.8881521
466	656.6841818
