iter	Passed	Remaining
0	139	69364
1	140	35037
2	142	23627
3	144	17898
4	145	14446
5	147	12150
6	149	10505
7	150	9277
8	152	8317
9	154	7550
10	155	6920
11	157	6395
12	158	5951
13	160	5567
14	162	5247
15	163	4953
16	165	4697
17	166	4469
18	168	4264
19	170	4080
20	171	3914
21	173	3763
22	174	3624
23	176	3497
24	177	3379
25	179	3270
26	180	3170
27	182	3078
28	184	2991
29	185	2909
30	187	2834
31	189	2764
32	190	2697
33	192	2634
34	193	2574
35	195	2517
36	196	2464
37	198	2414
38	200	2367
39	201	2322
40	203	2279
41	205	2237
42	206	2196
43	208	2157
44	209	2120
45	211	2085
46	213	2053
47	214	2020
48	216	1988
49	217	1958
50	219	1930
51	220	1903
52	222	1875
53	224	1851
54	225	1826
55	227	1803
56	229	1781
57	230	1758
58	232	1736
59	233	1715
60	235	1694
61	236	1674
62	238	1655
63	240	1636
64	242	1619
65	243	1602
66	245	1585
67	246	1568
68	248	1552
69	250	1535
70	251	1520
71	253	1504
72	254	1489
73	256	1475
74	258	1462
75	259	1449
76	261	1435
77	262	1422
78	264	1409
79	266	1397
80	267	1385
81	269	1373
82	270	1361
83	272	1351
84	274	1340
85	276	1329
86	277	1319
87	279	1308
88	280	1297
89	282	1287
90	284	1276
91	285	1266
92	287	1258
93	289	1249
94	290	1239
95	292	1230
96	293	1221
97	295	1212
98	297	1203
99	298	1194
100	300	1185
101	301	1177
102	303	1169
103	304	1160
104	306	1152
105	307	1144
106	309	1136
107	310	1128
108	312	1120
109	313	1113
110	315	1105
111	317	1098
112	318	1091
113	320	1084
114	321	1077
115	323	1070
116	325	1063
117	326	1057
118	328	1050
119	329	1044
120	331	1037
121	332	1031
122	334	1025
123	336	1019
124	337	1012
125	339	1006
126	340	1000
127	342	995
128	343	989
129	345	983
130	347	977
131	348	972
132	350	966
133	351	961
134	353	955
135	355	950
136	356	944
137	358	939
138	359	934
139	361	928
140	362	924
141	364	918
142	366	913
143	367	908
144	369	903
145	370	898
146	372	894
147	373	889
148	375	884
149	376	879
150	378	874
151	380	870
152	382	866
153	383	862
154	385	857
155	386	852
156	388	848
157	390	844
158	391	840
159	393	836
160	395	831
161	396	827
162	398	823
163	400	819
164	401	815
165	403	811
166	405	807
167	406	803
168	408	800
169	410	796
170	412	792
171	413	789
172	415	784
173	416	781
174	418	777
175	420	773
176	421	769
177	423	765
178	424	761
179	426	758
180	428	754
181	430	751
182	431	747
183	433	744
184	435	740
185	436	737
186	438	733
187	439	730
188	441	726
189	443	723
190	444	719
191	446	716
192	448	712
193	449	709
194	451	706
195	453	703
196	454	699
197	456	696
198	458	693
199	460	690
200	461	686
201	463	683
202	464	680
203	466	677
204	468	673
205	469	670
206	471	667
207	473	664
208	474	661
209	476	658
210	478	655
211	480	652
212	481	649
213	483	646
214	485	643
215	487	640
216	488	637
217	490	634
218	491	631
219	493	628
220	495	625
221	497	622
222	498	619
223	500	616
224	502	613
225	503	610
226	505	607
227	507	604
228	508	601
229	510	599
230	511	596
231	513	593
232	515	590
233	516	587
234	518	585
235	520	582
236	522	579
237	523	576
238	525	573
239	527	570
240	528	568
241	530	565
242	532	562
243	533	560
244	535	557
245	536	554
246	538	551
247	540	548
248	542	546
249	543	543
250	545	541
251	547	538
252	549	536
253	550	533
254	552	530
255	554	528
256	556	525
257	558	523
258	559	520
259	561	518
260	562	515
261	564	512
262	566	510
263	567	507
264	569	505
265	571	502
266	572	499
267	574	497
268	576	494
269	577	492
270	579	489
271	581	487
272	582	484
273	584	482
274	586	479
275	587	477
276	589	474
277	591	472
278	592	469
279	594	467
280	596	464
281	597	461
282	599	459
283	600	456
284	602	454
285	604	451
286	605	449
287	607	447
288	608	444
289	610	442
290	612	439
291	613	437
292	615	434
293	616	432
294	618	429
295	620	427
296	621	424
297	623	422
298	624	420
299	626	417
300	628	415
301	629	412
302	631	410
303	633	408
304	634	405
305	636	403
306	637	401
307	639	398
308	641	396
309	643	394
310	644	391
311	646	389
312	647	387
313	649	384
314	651	382
315	652	380
316	654	377
317	656	375
318	657	373
319	659	370
320	660	368
321	662	366
322	664	364
323	666	361
324	667	359
325	669	357
326	670	354
327	672	352
328	674	350
329	675	348
330	677	345
331	679	343
332	680	341
333	682	339
334	684	336
335	685	334
336	687	332
337	689	330
338	690	328
339	692	325
340	694	323
341	695	321
342	697	319
343	699	317
344	700	314
345	702	312
346	704	310
347	705	308
348	707	306
349	708	303
350	710	301
351	712	299
352	713	297
353	715	295
354	717	292
355	718	290
356	720	288
357	722	286
358	723	284
359	725	282
360	727	280
361	728	277
362	730	275
363	731	273
364	733	271
365	735	269
366	736	267
367	738	264
368	740	262
369	742	260
370	743	258
371	745	256
372	747	254
373	748	252
374	750	250
375	752	248
376	753	245
377	755	243
378	757	241
379	759	239
380	760	237
381	762	235
382	764	233
383	766	231
384	767	229
385	769	227
386	771	225
387	772	223
388	774	220
389	776	218
390	777	216
391	779	214
392	781	212
393	782	210
394	784	208
395	785	206
396	787	204
397	789	202
398	790	200
399	792	198
400	794	196
401	795	193
402	797	192
403	799	189
404	800	187
405	802	185
406	804	183
407	805	181
408	807	179
409	808	177
410	810	175
411	812	173
412	813	171
413	815	169
414	817	167
415	819	165
416	820	163
417	822	161
418	824	159
419	825	157
420	827	155
421	829	153
422	830	151
423	832	149
424	834	147
425	835	145
426	837	143
427	839	141
428	840	139
429	842	137
430	844	135
431	845	133
432	847	131
433	849	129
434	850	127
435	852	125
436	853	123
437	855	121
438	857	119
439	859	117
440	860	115
441	862	113
442	864	111
443	865	109
444	867	107
445	869	105
446	870	103
447	872	101
448	874	99
449	875	97
450	877	95
451	879	93
452	881	91
453	883	89
454	884	87
455	886	85
456	888	83
457	889	81
458	891	79
459	893	77
460	895	75
461	897	73
462	899	71
463	900	69
464	902	67
465	904	65
466	906	64
467	908	62
468	910	60
469	911	58
470	913	56
471	915	54
472	917	52
473	918	50
474	920	48
475	922	46
476	924	44
477	926	42
478	927	40
479	929	38
480	931	36
481	933	34
482	935	32
483	937	30
484	939	29
485	941	27
486	943	25
487	944	23
488	946	21
489	948	19
490	949	17
491	951	15
492	953	13
493	955	11
494	956	9
495	958	7
496	960	5
497	961	3
498	963	1
499	965	0
