customer_id,snapshot_date,avg_monthly_usage,support_tickets,satisfaction_level,churn
0.0,2022-01-01,69.15,0,3.17,0
0.0,2022-02-01,81.23,0,3.64,0
0.0,2022-03-01,84.65,2,3.61,0
0.0,2022-04-01,74.6,2,3.15,0
0.0,2022-05-01,78.87,0,3.22,0
0.0,2022-06-01,78.42,0,3.68,0
0.0,2022-07-01,71.19,1,2.89,0
0.0,2022-08-01,84.59,0,3.49,0
0.0,2022-09-01,75.64,0,3.23,0
0.0,2022-10-01,84.04,0,2.98,0
0.0,2022-11-01,81.33,0,2.94,0
0.0,2022-12-01,79.04,0,3.38,0
0.0,2023-01-01,82.61,0,3.09,0
0.0,2023-02-01,85.44,1,3.2,0
0.0,2023-03-01,68.17,0,3.58,0
0.0,2023-04-01,56.87,1,3.18,0
0.0,2023-05-01,44.99,0,3.15,0
0.0,2023-06-01,44.49,0,3.62,0
1.0,2022-01-01,69.99,1,3.05,0
1.0,2022-02-01,75.54,1,3.23,0
1.0,2022-03-01,63.94,0,2.98,0
1.0,2022-04-01,67.22,1,2.88,0
1.0,2022-05-01,60.54,1,3.18,0
1.0,2022-06-01,57.87,0,3.5,0
1.0,2022-07-01,49.33,0,3.49,0
1.0,2022-08-01,42.97,0,3.36,0
1.0,2022-09-01,20.93,0,3.41,0
1.0,2022-10-01,5.35,0,3.59,0
1.0,2022-11-01,5.0,0,3.45,0
1.0,2022-12-01,5.0,0,3.22,0
1.0,2023-01-01,5.0,0,3.18,0
1.0,2023-02-01,5.0,0,3.53,0
1.0,2023-03-01,22.5,0,3.19,0
1.0,2023-04-01,24.88,0,2.47,0
1.0,2023-05-01,6.42,0,3.04,0
1.0,2023-06-01,5.37,0,3.53,0
2.0,2022-01-01,65.63,1,4.31,0
2.0,2022-02-01,69.52,1,3.41,0
2.0,2022-03-01,73.74,2,3.42,0
2.0,2022-04-01,73.57,1,4.04,0
2.0,2022-05-01,77.86,0,3.78,0
2.0,2022-06-01,76.92,0,3.45,0
2.0,2022-07-01,82.3,0,3.85,0
2.0,2022-08-01,83.21,0,4.14,0
2.0,2022-09-01,90.85,0,3.81,0
2.0,2022-10-01,83.63,0,3.51,0
2.0,2022-11-01,84.37,0,4.09,0
2.0,2022-12-01,81.24,0,3.98,0
2.0,2023-01-01,79.36,2,3.22,0
2.0,2023-02-01,78.15,1,3.91,0
2.0,2023-03-01,78.55,1,3.87,0
2.0,2023-04-01,80.34,0,4.06,0
2.0,2023-05-01,81.75,0,3.86,0
2.0,2023-06-01,82.77,0,3.65,0
