age,annual_income,avg_monthly_spend,credit_utilization,tenure_years,num_products,risk_score
56,106477.0,5268.0,0.06,3.1,1,24.1
69,109688.0,2206.0,0.0,2.0,1,22.0
46,94629.0,2998.0,0.22,3.2,1,36.1
32,49359.0,1725.0,0.17,4.6,1,24.4
60,91565.0,1807.0,0.06,21.3,7,17.3
25,43737.0,1005.0,0.28,7.0,2,35.8
38,82644.0,2859.0,0.21,9.9,3,23.0
56,107912.0,5263.0,0.0,11.0,2,15.5
36,70893.0,1247.0,0.46,3.2,2,48.0
40,64906.0,3056.0,0.39,5.4,3,35.5
28,63304.0,2951.0,0.32,10.0,3,27.1
28,56301.0,2547.0,0.6,2.5,1,56.9
41,67257.0,1967.0,0.01,16.3,6,9.6
70,119085.0,3933.0,0.11,2.7,2,32.8
53,82230.0,2477.0,0.34,4.6,1,46.4
57,74905.0,3614.0,0.11,6.2,1,25.8
41,59038.0,2010.0,0.33,15.0,2,36.4
20,29951.0,580.0,0.49,1.4,1,43.8
39,80513.0,2077.0,0.0,6.9,2,9.7
70,116256.0,3728.0,0.12,3.7,1,24.5
19,54308.0,2631.0,0.5,1.0,4,43.0
41,88016.0,3136.0,0.1,7.5,1,23.3
61,121079.0,4827.0,0.0,4.0,1,14.0
47,77516.0,1521.0,0.0,5.4,2,18.4
55,102097.0,4687.0,0.0,1.9,1,18.1
19,29106.0,1008.0,0.66,1.0,2,62.6
38,96281.0,4561.0,0.16,4.8,2,28.4
50,71328.0,2248.0,0.25,2.6,2,31.4
29,54149.0,2135.0,0.39,1.1,1,36.2
39,67834.0,2195.0,0.42,16.3,4,37.3
61,80306.0,1720.0,0.23,3.6,5,23.0
42,80889.0,2082.0,0.66,6.6,2,62.2
66,112409.0,2125.0,0.03,2.6,1,22.9
44,79959.0,2506.0,0.4,2.2,2,47.3
59,77696.0,2977.0,0.48,2.6,1,42.7
45,113751.0,2820.0,0.09,2.6,1,25.6
33,77838.0,2570.0,0.14,3.9,1,22.7
32,107913.0,3450.0,0.0,3.9,1,18.7
64,94723.0,3263.0,0.07,3.4,3,17.7
68,125968.0,2875.0,0.0,0.7,1,19.2
61,114889.0,3960.0,0.15,3.4,1,20.6
72,112041.0,3228.0,0.0,0.9,1,18.7
69,133966.0,3510.0,0.0,0.7,1,11.4
74,112719.0,4080.0,0.0,13.5,2,21.6
20,48587.0,1050.0,0.6,2.0,4,55.6
54,42729.0,1995.0,0.38,5.4,1,40.2
68,117735.0,5631.0,0.0,2.6,4,22.0
24,38917.0,1506.0,0.35,6.0,1,31.5
38,67339.0,1803.0,0.13,5.1,1,21.1
26,45807.0,1719.0,0.45,7.3,3,46.0
56,91707.0,3367.0,0.0,2.3,5,19.6
35,78658.0,2337.0,0.1,16.1,2,13.7
21,55367.0,1453.0,0.13,3.0,2,29.5
42,91045.0,2029.0,0.07,9.6,4,20.6
31,86184.0,2061.0,0.23,0.9,1,35.8
67,104868.0,4031.0,0.18,1.6,1,31.8
26,54021.0,2496.0,0.38,1.7,1,38.4
43,95966.0,2831.0,0.0,1.6,1,18.8
70,129556.0,2686.0,0.0,9.7,1,5.6
19,63909.0,1092.0,0.11,0.2,2,23.7
37,60117.0,1815.0,0.2,0.4,3,30.7
45,90340.0,2206.0,0.0,1.6,2,22.3
64,108442.0,2973.0,0.0,1.1,2,22.0
24,74588.0,1844.0,0.0,1.3,1,15.5
61,94607.0,3671.0,0.0,8.0,1,11.9
25,35001.0,1328.0,0.26,4.1,3,40.0
64,117154.0,5515.0,0.0,0.0,1,18.5
52,54024.0,2161.0,0.08,2.8,1,23.9
31,56227.0,1246.0,0.32,2.6,1,41.9
34,55452.0,2313.0,0.42,0.6,1,44.6
53,78151.0,1775.0,0.44,5.6,2,42.5
67,99165.0,3499.0,0.24,6.1,1,29.9
57,116661.0,2244.0,0.0,6.4,1,14.1
21,67508.0,1232.0,0.39,3.0,2,42.2
19,49024.0,1576.0,0.36,0.0,2,32.3
23,74604.0,1504.0,0.26,5.0,1,31.4
71,99266.0,2669.0,0.0,8.4,1,18.3
59,82826.0,2316.0,0.0,11.7,1,16.0
21,68154.0,2884.0,0.17,0.1,2,37.2
71,123895.0,3439.0,0.0,13.6,4,17.1
46,78296.0,2595.0,0.26,8.3,1,33.0
35,54968.0,2332.0,0.25,9.1,1,30.5
43,103496.0,2432.0,0.04,0.5,1,19.6
61,77398.0,3367.0,0.44,6.7,4,45.2
51,82224.0,3650.0,0.0,16.1,2,13.2
27,65829.0,3267.0,0.0,5.7,2,15.4
53,120632.0,3796.0,0.03,4.2,1,15.5
31,72947.0,2117.0,0.14,13.0,2,21.2
48,94805.0,3799.0,0.12,2.9,1,31.3
65,99459.0,1850.0,0.21,4.6,1,30.6
32,76927.0,1384.0,0.62,3.2,1,55.7
25,61580.0,1714.0,0.46,7.0,4,46.3
31,43373.0,1778.0,0.31,0.4,4,41.0
40,89894.0,1847.0,0.0,3.5,6,19.4
74,133356.0,5048.0,0.0,5.8,6,16.7
57,110450.0,2833.0,0.0,7.8,1,13.3
38,76100.0,2921.0,0.27,4.4,2,38.9
33,55257.0,1763.0,0.63,12.0,5,49.5
62,69762.0,1430.0,0.71,14.2,1,63.1
35,74356.0,1852.0,0.25,0.3,1,35.6
64,123029.0,2952.0,0.0,2.6,2,18.9
70,128933.0,2856.0,0.0,0.1,1,23.7
41,91441.0,2952.0,0.1,2.0,1,21.4
43,80487.0,3903.0,0.0,3.8,1,20.8
42,96712.0,3733.0,0.12,12.1,1,21.2
62,118262.0,5267.0,0.0,9.4,2,17.1
58,93260.0,4604.0,0.07,0.7,1,20.4
46,95349.0,3307.0,0.15,0.5,2,25.0
32,60361.0,1485.0,0.57,4.4,3,42.6
62,112500.0,5354.0,0.28,3.8,3,32.5
18,32113.0,1283.0,0.32,0.0,1,36.5
42,62067.0,3018.0,0.35,11.5,3,31.7
24,74673.0,2865.0,0.44,6.0,3,42.5
26,75263.0,3199.0,0.09,2.6,1,24.3
41,88704.0,4112.0,0.19,11.1,2,28.3
18,52920.0,2221.0,0.2,0.0,2,34.9
61,67331.0,2385.0,0.25,6.7,3,35.0
25,58877.0,1907.0,0.33,3.2,1,41.8
41,86013.0,3794.0,0.36,0.7,1,42.4
28,55579.0,2357.0,0.6,10.0,4,50.8
68,100913.0,2914.0,0.3,3.0,3,41.3
34,92466.0,3077.0,0.32,6.6,3,39.1
25,59096.0,2236.0,0.26,2.3,1,27.2
52,99222.0,1748.0,0.0,0.1,1,19.1
52,104012.0,2592.0,0.0,0.5,4,10.7
50,74978.0,1875.0,0.41,3.4,1,33.6
22,59298.0,2734.0,0.49,4.0,2,44.7
59,120595.0,3342.0,0.0,2.0,2,18.3
56,124488.0,4337.0,0.22,5.9,2,27.9
58,100199.0,4447.0,0.05,6.0,5,10.8
45,80431.0,2037.0,0.26,6.1,1,36.1
24,62835.0,1306.0,0.58,3.4,1,49.3
26,64855.0,3131.0,0.02,8.0,1,19.7
25,80801.0,3245.0,0.19,3.4,1,26.0
29,49854.0,1125.0,0.44,3.0,1,42.3
51,87002.0,3827.0,0.0,1.1,1,21.6
50,73243.0,3142.0,0.31,1.8,1,36.1
65,92819.0,4138.0,0.0,0.2,1,20.7
72,122049.0,3158.0,0.04,5.0,3,21.4
40,90148.0,2850.0,0.14,1.4,1,20.4
41,69459.0,2764.0,0.44,1.8,2,48.1
54,106381.0,3158.0,0.0,7.4,1,11.4
52,109074.0,2072.0,0.0,2.0,2,13.4
61,132221.0,2805.0,0.08,1.4,4,20.7
57,99446.0,3637.0,0.0,0.9,1,23.6
39,67204.0,1960.0,0.26,7.5,1,23.7
44,67763.0,1142.0,0.33,0.7,1,42.4
52,75873.0,3204.0,0.2,3.0,5,32.4
18,70347.0,2150.0,0.37,0.0,1,42.8
52,69674.0,1890.0,0.47,5.8,2,46.2
54,113066.0,4574.0,0.1,5.0,3,22.1
64,93773.0,2985.0,0.0,8.3,2,19.0
31,56922.0,2267.0,0.21,0.2,1,30.5
20,51727.0,885.0,0.23,1.8,2,24.5
18,41045.0,697.0,0.49,0.0,1,48.8
22,70380.0,2487.0,0.13,0.8,1,31.3
43,108800.0,5375.0,0.0,1.7,1,21.6
72,106539.0,2743.0,0.31,1.9,2,47.0
31,60716.0,2394.0,0.11,3.7,2,23.4
56,94750.0,2123.0,0.05,5.4,3,19.5
44,90916.0,2459.0,0.21,2.4,2,30.3
26,58898.0,1135.0,0.23,6.4,1,26.8
32,89209.0,4106.0,0.09,2.0,1,22.0
32,85599.0,2312.0,0.66,1.7,2,53.7
43,63818.0,1554.0,0.18,3.9,1,17.0
59,108615.0,4455.0,0.3,0.1,3,35.2
30,88805.0,2070.0,0.05,0.4,1,22.9
68,104178.0,2571.0,0.26,2.7,3,37.4
49,84386.0,1698.0,0.0,14.3,3,9.6
56,89279.0,4353.0,0.0,6.4,1,13.8
66,101594.0,2532.0,0.25,0.5,1,40.1
69,87773.0,4376.0,0.06,9.4,3,12.1
49,68875.0,1552.0,0.65,6.6,2,54.9
21,56362.0,978.0,0.33,3.0,1,43.0
47,109104.0,5076.0,0.09,8.6,8,17.6
54,85600.0,3082.0,0.07,2.6,1,15.2
40,68359.0,1940.0,0.06,1.3,1,31.2
56,122723.0,4145.0,0.0,3.6,1,22.1
62,87776.0,2226.0,0.0,4.0,2,22.1
32,43481.0,1645.0,0.5,3.9,3,47.4
60,89572.0,3333.0,0.02,4.2,3,22.3
46,75258.0,1455.0,0.23,14.9,5,13.7
53,67388.0,3169.0,0.33,11.6,4,31.2
30,64079.0,2052.0,0.15,10.4,2,28.3
49,103027.0,2387.0,0.11,8.1,1,15.1
24,39511.0,1063.0,0.32,6.0,2,34.7
68,112914.0,5142.0,0.0,0.5,2,21.3
39,82739.0,2436.0,0.19,1.5,1,26.4
45,82749.0,2929.0,0.08,3.4,2,23.3
19,55585.0,2682.0,0.61,1.0,2,57.7
59,103760.0,3983.0,0.0,3.5,2,19.7
62,92209.0,3614.0,0.09,6.9,4,19.9
74,141279.0,3525.0,0.0,0.7,1,15.5
70,132716.0,5168.0,0.33,1.5,2,41.0
23,75449.0,2248.0,0.47,5.0,2,47.2
45,99205.0,4666.0,0.32,0.9,3,40.3
45,60375.0,1267.0,0.02,2.2,1,20.6
61,117091.0,3066.0,0.06,1.5,1,24.3
61,113034.0,2133.0,0.0,2.2,2,23.3
37,51352.0,1508.0,0.5,6.2,2,48.6
47,83176.0,1798.0,0.15,2.3,1,28.3
28,67752.0,3038.0,0.18,4.1,1,26.0
72,141365.0,6715.0,0.0,0.5,1,26.7
45,94871.0,3698.0,0.23,8.2,4,24.0
42,67432.0,1356.0,0.23,2.3,1,31.5
56,122631.0,3440.0,0.11,5.2,1,21.0
50,90657.0,4426.0,0.09,6.5,3,12.9
18,47762.0,1013.0,0.41,0.0,1,46.2
