customer_id,age,income,tenure_years,avg_monthly_usage,monthly_charges,contract_type,payment_method,region,customer_segment,has_dependents,paperless_billing,churn
1,48,21747,1.6,39.953084029002845,32.88,Two Year,Bank Transfer,South,High,0,0,0
2,40,28367,3.0,26.01694363611818,59.44,Month-to-Month,Credit Card,North,Low,0,1,0
3,50,23905,2.0,48.39141572114983,56.08,One Year,Bank Transfer,North,High,0,0,0
4,61,29691,0.1,75.21344868854324,87.44,Month-to-Month,Credit Card,South,Low,1,0,1
5,38,35675,17.9,66.80728993854473,52.78,Month-to-Month,Credit Card,South,Low,0,0,1
6,38,63604,2.7,54.971707467282506,64.81,Month-to-Month,Electronic Check,West,Low,0,0,1
7,62,33636,2.2,47.499301295360965,39.8,Two Year,Electronic Check,North,Low,1,1,0
8,51,16779,10.8,47.98428154990424,41.16,One Year,Electronic Check,West,Low,1,1,0
9,35,75134,0.6,56.958128305494334,32.47,Month-to-Month,Electronic Check,West,Medium,0,0,1
10,49,25326,0.7,35.768125254775086,53.14,One Year,Bank Transfer,South,Medium,0,0,1
11,35,38859,5.8,48.73406778637665,51.06,Two Year,Electronic Check,East,High,1,1,0
12,35,51307,1.1,51.11974969552416,63.63,Month-to-Month,Electronic Check,West,Medium,1,0,0
13,45,44792,5.6,30.680659747873044,43.17,One Year,Mailed Check,South,Low,0,0,0
14,18,73262,1.1,39.907931483843655,73.22,Month-to-Month,Bank Transfer,South,Low,0,0,1
15,19,52232,0.1,62.389122246754866,62.63,Two Year,Credit Card,North,Medium,1,0,1
16,34,24991,2.5,55.1712131189379,74.26,Month-to-Month,Electronic Check,East,Medium,1,1,0
17,28,133013,0.8,49.44228775851911,42.39,Two Year,Bank Transfer,North,Medium,1,1,0
18,46,44662,5.0,38.59430612431665,32.09,Month-to-Month,Electronic Check,West,Medium,1,1,0
19,30,37010,3.6,83.38329686060591,86.14,Month-to-Month,Credit Card,South,Low,1,1,1
20,23,68197,9.0,39.916374135772266,44.31,Month-to-Month,Bank Transfer,West,Low,1,1,1
21,61,46036,5.3,59.528670530711274,61.76,Month-to-Month,Credit Card,North,Medium,1,0,1
22,39,49989,0.7,46.21835641467168,54.7,One Year,Mailed Check,East,Medium,1,1,0
23,42,158055,5.6,55.65302726749003,48.63,Month-to-Month,Electronic Check,East,Low,1,1,0
24,23,34498,3.6,63.2369753549267,64.04,Month-to-Month,Bank Transfer,South,Low,1,1,0
25,34,33699,3.9,30.335381394258054,29.33,One Year,Credit Card,West,High,1,1,0
26,43,42792,6.2,54.88090760523722,67.78,Two Year,Credit Card,South,Medium,1,0,0
27,27,72354,3.0,76.43311568163722,82.88,Two Year,Mailed Check,North,Medium,0,1,0
28,46,17525,2.2,86.70703408285605,55.99,One Year,Credit Card,West,Low,1,0,0
29,34,13615,3.5,52.65974848140764,64.39,Two Year,Bank Transfer,South,Medium,1,1,0
30,38,29059,1.2,55.75026172990436,62.76,One Year,Electronic Check,North,Low,0,0,0
31,34,16339,0.7,94.8039945148276,78.81,Month-to-Month,Bank Transfer,South,Low,1,1,0
32,66,31772,3.4,75.42863706878558,63.85,Month-to-Month,Bank Transfer,East,Low,0,1,0
33,41,52911,0.9,43.888877753406064,54.04,Month-to-Month,Mailed Check,South,Medium,1,0,0
34,28,24589,0.3,43.85829788404979,31.85,Month-to-Month,Mailed Check,East,Low,1,1,1
35,52,18310,0.0,72.21789031217084,94.26,Two Year,Electronic Check,East,Low,1,1,0
36,26,41694,3.3,36.80133165917685,20.0,Two Year,Credit Card,North,Medium,0,1,0
37,44,64498,1.6,74.57908152409935,55.83,Month-to-Month,Mailed Check,South,Low,1,0,0
38,18,15799,4.9,61.01739934751815,50.33,Month-to-Month,Credit Card,East,Low,0,1,0
39,24,63014,1.6,64.31897375248731,69.89,One Year,Credit Card,East,Medium,1,0,0
40,44,62913,2.3,50.37879153735904,73.31,Two Year,Electronic Check,North,Medium,1,1,0
41,51,67829,1.8,43.663153523564624,54.83,Month-to-Month,Credit Card,South,High,1,1,0
42,44,78445,3.7,81.31587095562976,102.78,Month-to-Month,Bank Transfer,West,Medium,0,1,0
43,40,134740,1.5,50.55872895003745,33.1,Two Year,Bank Transfer,West,Low,1,1,0
44,38,32996,11.6,47.60316862167049,38.57,Two Year,Credit Card,East,High,1,1,0
45,22,42627,9.6,53.557532778163434,46.17,Month-to-Month,Electronic Check,North,Low,1,1,1
46,32,31919,6.6,58.47439838892297,57.58,Month-to-Month,Credit Card,East,Medium,0,1,0
47,36,40178,8.9,36.44514771904993,31.6,One Year,Mailed Check,North,Low,0,1,0
48,55,93253,2.1,44.83231310427559,38.82,Two Year,Credit Card,East,Medium,1,1,0
49,46,19153,2.7,43.87542266969096,53.73,Month-to-Month,Mailed Check,East,High,1,1,0
50,19,24994,4.7,70.21504548292327,40.02,Two Year,Credit Card,South,Medium,1,0,0
51,46,85600,4.2,39.052673776001996,30.16,Month-to-Month,Bank Transfer,North,Medium,1,1,0
52,36,70334,7.7,23.396178560355033,31.83,One Year,Bank Transfer,East,High,0,1,0
53,33,32868,4.4,19.592297867689226,32.4,One Year,Mailed Check,West,Low,1,1,0
54,49,64210,21.6,28.533157575837087,55.16,Month-to-Month,Bank Transfer,East,Low,1,1,1
55,55,48420,1.5,79.507687651266,55.43,Month-to-Month,Electronic Check,East,High,1,1,0
56,54,91596,6.3,55.29171879071293,54.14,Month-to-Month,Mailed Check,North,Medium,1,1,1
57,31,41813,4.2,64.02248356252964,73.48,Two Year,Bank Transfer,East,Medium,0,1,0
