customer_id,age,income,tenure_years,avg_monthly_usage,support_tickets_last_year,satisfaction_level,customer_segment,region,churn,future_retention_offer
1,18,,2.0125006142436224,138.02116304763993,1,,segment_18,South,0,-0.06904710273124051
2,18,58991.0611619114,9.005549538947275,213.0430027449929,2,Very High,segment_98,West,0,-0.22660671341670724
3,67,31130.29854506097,3.6330579328046735,68.59158187161562,2,Medium,segment_134,North,0,-0.06574091693274232
4,64,,4.295956957798257,28.790893545644796,1,,segment_72,North,0,0.06188567476980932
5,37,22301.231174866243,2.549855240217589,100.1365692412949,2,High,segment_147,East,1,1.0736781971099374
6,53,45362.46661785528,1.8492495699384177,25.685617807024382,2,High,segment_146,North,0,-0.008452908982372144
7,63,30435.36488262087,3.2528176683307444,79.06350894032138,3,Very Low,segment_5,North,1,1.1212970277209962
8,59,24431.26469891358,8.022321727647993,126.53722848220485,2,Very High,segment_72,West,0,-0.037171239998743895
9,61,,1.8538548858422261,669.6383089414649,1,,segment_109,North,0,3.156652883659232e-06
10,47,28100.264210635112,0.9077789019861565,43.47864273487367,3,Low,segment_43,South,1,1.095499087337135
11,68,,4.985549558902888,107.36767182785528,1,,segment_28,West,0,-0.12760554381118858
12,44,103000.12620676517,4.252524550968096,51.621246652268,2,Medium,segment_149,South,0,-0.0228670364821793
13,21,,11.541554603133134,94.75216671751338,1,,segment_48,West,0,0.26872477174443077
14,47,37526.562295193704,4.187738096397582,49.633778925539985,4,Low,segment_14,West,0,0.0076391329650707445
15,51,,3.068713650032512,38.19353093369444,1,,segment_90,South,0,0.01036516234994185
16,41,44763.18024349439,1.645694431222672,56.197145049009755,2,Low,segment_120,North,0,-0.0031176095502442893
17,33,53481.35524507873,3.7864713570908117,43.290665896653664,1,Medium,segment_92,South,0,0.15224789414583864
18,28,,3.6934402502396892,87.39423651382009,1,,segment_129,West,1,0.8009672794108504
19,52,19045.41108367732,1.1423512999074503,9.301222985670975,3,Medium,segment_46,North,0,-0.09499680168527076
20,35,,1.0710273641151447,129.18963592473833,1,,segment_90,North,0,-0.05049947784503074
21,76,,4.472193822788541,124.91276858710762,1,,segment_89,East,0,-2.8789569483167964e-05
22,47,112376.51802459931,4.995312397515737,9.950192607642794,0,Medium,segment_51,North,0,0.049823530488089546
23,63,35873.19790075539,0.6464186159825098,59.48365044787571,5,Low,segment_3,East,0,0.052894951896152356
24,58,,8.441602351138972,35.88593822228129,5,,segment_96,West,0,0.008109159754234282
25,74,39924.19266352528,3.371093935901882,104.57185482961513,1,High,segment_109,South,0,0.018468357166169916
26,60,11224.159922541994,2.462356687712986,51.27787561923313,1,Low,segment_120,East,1,1.01002269920355
27,73,76122.12500754872,2.7520556156203373,42.32913571303442,3,Low,segment_83,North,0,-0.06905652305457434
28,21,22932.99894631167,0.9654248003693248,100.03363738114,2,Low,segment_82,North,1,0.9884356922345766
29,27,8827.512321809385,14.686059048952922,62.212437783172675,3,Medium,segment_91,North,0,-0.13216269428334135
30,51,,3.041287422793961,20.491929838336787,2,,segment_33,North,0,-0.10674511356927273
31,33,,3.051258271489635,63.58938765017223,2,,segment_113,North,0,0.2436053605570277
32,21,,12.22956428137553,72.66469677746902,3,,segment_127,East,0,-0.009319000611039043
33,35,15528.676713562158,2.4206795787497826,80.77105954589562,3,Very High,segment_110,East,0,0.06012639093527605
34,46,,7.469143310550039,22.636061931904173,0,,segment_134,South,0,-0.038783082126788965
35,59,64016.565468354456,1.3030896158944216,15.966002847573849,1,High,segment_78,North,0,0.2784474300476949
36,79,,9.124598555207204,211.12466120566543,0,,segment_128,North,0,0.05011214856255546
37,47,,4.968860355128217,38.221624675636804,2,,segment_140,South,0,-0.09854975003381916
38,31,,13.09768423082409,173.44977302964287,3,,segment_50,East,0,0.19481989810849074
39,31,185049.04305065935,1.0544928989436966,24.116688729077257,1,Medium,segment_147,North,0,0.09662492460901116
40,60,,0.9554993172319382,24.708258164692946,4,,segment_69,North,0,-0.08540095310379008
41,49,32908.104319106315,2.794328212674629,27.99035030201007,1,Low,segment_3,North,0,0.0815431769038843
42,22,,0.20776977363708996,37.90542519666149,3,High,segment_28,East,0,-0.08898445198562857
43,28,33173.377546807016,8.961737068636076,91.5375572878233,0,High,segment_96,West,0,-0.17099425276863855
44,21,36544.372386127274,8.766464629019977,48.74498726622992,2,Very Low,segment_44,North,0,0.05784116670252635
45,70,35408.3564268149,0.8513158637061224,2.6072146520380697,3,Medium,segment_26,West,1,1.0902966430231589
46,41,,3.078395416193165,18.244793398950176,1,,segment_105,North,0,-0.10323949843731053
47,51,,1.3181469274356639,78.74997413244658,2,,segment_64,North,0,0.04001242246186094
48,30,,0.11445847213859278,46.55062583028617,0,,segment_2,North,1,0.9868050620172862
49,29,,6.257254736129152,25.497343168638604,1,Low,segment_98,East,0,-0.005897464227835998
50,51,42088.55259865469,10.291815876180097,193.99341079825624,4,Medium,segment_28,North,0,0.11766128837831347
51,23,,2.5892705050640155,88.13704364180552,2,,segment_38,North,0,0.13841257663713655
52,44,101179.36876618251,10.946057607924347,,3,High,segment_46,North,0,-0.205777723099768
53,20,10391.001250029496,11.102200734625956,37.93623683357739,4,High,segment_2,North,0,-0.048386890007237
54,49,7385.759360073107,2.0727572141543478,44.87052256142819,1,High,segment_144,South,1,1.022706777496156
55,35,37942.42055968156,11.801078004824028,94.57218294818439,1,Medium,segment_89,North,0,0.09531599930408025
56,33,26325.938315234667,17.77200348295495,90.7025733806572,2,Medium,segment_70,West,0,0.017906305731547008
57,51,,12.39163492117693,30.62520963186553,2,High,segment_50,North,0,-0.01667372623352916
58,25,108166.83754581441,0.822060792094439,28.106326279233045,4,Medium,segment_45,North,0,-0.06725072368464112
59,44,,4.96178852241479,102.60326908891126,1,,segment_37,North,0,0.016119679069870316
60,39,,5.321916219974402,58.71243463212419,3,,segment_17,West,0,-0.1298933593686374
61,74,18617.57812668612,7.957637128768069,82.2005142441384,1,High,segment_61,North,0,-0.08056469421000621
62,21,,1.021170468838348,77.99621665454855,0,Very High,segment_123,South,0,-0.16724950138512884
63,70,17595.682846106145,2.132967633996832,15.428608991761637,2,Low,segment_135,West,1,0.9968046481987396
64,78,21276.046094706377,7.715578124990884,61.629669251419706,1,Very High,segment_50,South,0,0.03511165157724905
65,32,11745.984132339641,5.314363294198604,187.9057720757369,3,Medium,segment_22,West,1,0.9246555525550544
66,19,,3.1806270119364264,97.971702523647,1,,segment_44,North,0,-0.1031647470391744
67,65,49352.375170730455,6.708290397187946,62.029352347911995,1,Low,segment_144,North,0,-0.21416830491424574
68,57,143331.30663641816,6.75171508508557,86.59403070619308,2,Medium,segment_10,East,0,0.019263749065669935
69,19,,0.10713037687126908,62.27685962558405,2,High,segment_83,West,1,0.8755732163358174
70,55,,10.192637192886497,85.2986963061542,3,Medium,segment_1,North,0,0.05285849244390209
71,40,,19.156742206594654,99.82723364724546,1,Medium,segment_25,North,0,0.11090313799901169
72,71,20088.162753088167,7.565171123576507,185.42492947055203,0,Medium,segment_74,South,0,-0.0018908834185702803
73,31,95988.00212536029,0.6300517964687062,104.35886837681613,1,Low,segment_22,West,0,-0.05485489932515482
74,29,,1.3304628450961165,,1,,segment_21,East,0,-0.24337858285018987
75,21,34778.917280766116,1.795125234275686,66.87379557496278,1,Medium,segment_144,North,0,0.27327421534516216
76,76,21366.772108445744,0.729358515655086,158.48658333100548,4,High,segment_71,East,1,0.8536168827158479
77,28,,10.28137186827352,63.80149218559246,1,,segment_85,North,0,-0.03106539727167537
78,51,208819.63150427592,6.682082177071108,126.72978824986814,2,Low,segment_100,West,0,-0.0021786352473208786
79,48,115958.88960365574,17.300013776799553,82.94895255457817,3,Low,segment_3,East,0,0.13698216031608987
80,71,,23.145770241892798,105.61626445856135,0,Medium,segment_23,West,0,0.06154995377877131
81,46,,7.202138076161487,109.0308873518672,3,,segment_129,South,0,0.13485171442598456
82,78,,1.6491339434155103,46.976776448049854,0,,segment_34,East,0,0.04593178077305191
83,56,60001.710660397606,1.1063114297159173,66.61347418933084,5,Very Low,segment_134,East,1,1.084387136364909
84,49,26345.63980027837,9.410876954629769,81.722956225032,4,Very High,segment_98,South,0,-0.061015984631057354
85,54,43128.89129699701,12.696687760880039,124.71929379356165,1,Low,segment_11,North,0,-0.00019884744194441633
86,18,14678.81310572795,4.691156761091983,11.02731419624728,1,Medium,segment_119,North,0,0.026668314308276594
87,34,68469.29803261311,0.5231530832128065,76.35927726031743,2,Low,segment_115,East,0,-0.12121631910908591
88,52,,13.998698155389395,88.37372937886482,2,Medium,segment_16,West,0,-0.11848502236572395
89,19,,0.931512792955338,85.66729522812385,2,,segment_64,East,0,0.08973269747408823
90,21,42185.770242850536,4.186520038606534,106.1528354733449,3,Very Low,segment_21,East,1,0.9614254787399243
91,68,110461.52873559389,3.122418208728989,19.581833014067183,1,Low,segment_81,East,0,0.0297568409454025
92,23,23751.764021716943,0.8323313137983024,104.92303562966904,2,Medium,segment_81,South,0,-0.030683024893641442
93,43,,4.62751791993299,94.93161515114218,0,,segment_47,East,0,0.028195668571304313
94,50,,4.36967876479345,75.19947307169504,3,,segment_14,North,0,0.11761999565953414
95,56,48877.34603363656,8.931313009888088,32.62051086299671,1,Very Low,segment_102,West,0,0.0346391908739707
96,18,,0.9307367114640088,90.65705258014167,1,,segment_47,North,0,-0.0605234565365742
97,41,,22.338257145654005,59.35574380607184,1,,segment_12,North,0,-0.19276526602633737
98,56,67627.72340237773,2.0276746976294047,36.75734166799331,2,High,segment_90,South,0,-0.07195676398550646
99,35,49768.67125474878,4.308536515843672,141.88401528989957,1,High,segment_106,East,0,-0.10041160089228436
100,49,,4.010500198660231,90.53560065987139,4,,segment_68,East,0,-0.12086224742487267
101,25,39193.67338019357,3.9163171168720288,11.415901995538311,3,Low,segment_113,North,1,0.9682498105013864
102,33,,6.980477778200958,55.53307541322928,2,,segment_12,South,0,-0.09670555074578581
103,26,,11.679897711213128,67.68032058192229,4,Low,segment_1,West,0,0.01783867602997378
104,20,,2.7234390374565036,34.52553746025532,2,,segment_19,South,0,0.0998186329786026
105,50,,17.871162240082555,76.80732171754563,1,Medium,segment_49,South,0,0.18397439243289854
106,23,142884.28491988083,1.7611901292045178,25.040682414796045,3,Low,segment_143,East,0,0.18967963660406995
107,23,,1.575014875455871,,5,,segment_58,West,1,0.8187142753055373
108,51,,14.51927775019496,34.67753486115336,1,,segment_25,North,0,-0.021619269746144018
109,67,,1.6390516649496008,69.94993643955819,2,,segment_26,East,0,0.1324436045119454
110,41,25152.46910932528,13.721797214565111,55.6023523420478,0,Low,segment_97,South,0,-0.12001792839426527
111,65,90039.37620941662,2.4436144634534656,96.59289492531319,1,High,segment_111,North,0,0.10168660374408467
112,72,,0.1935145557181526,142.21037249669865,3,,segment_97,East,1,0.8905797945262816
113,46,19427.244464335192,7.680034435788078,34.36720181250392,1,Low,segment_143,South,0,-0.03504068990052535
114,62,35806.75202410547,5.145648613587777,27.72681164470247,2,Medium,segment_73,North,0,0.10299919663574497
115,55,38984.68489482894,0.6924171848081363,53.20893994228941,0,Very High,segment_139,North,0,-0.005125489222620092
116,30,19654.55921881026,3.4917511053513532,86.2955201086364,0,High,segment_83,South,0,0.17302024820998985
117,22,15377.027286397539,4.5455876200196705,22.28336788386011,2,High,segment_124,East,0,0.0019194942517895175
118,37,118458.14093172735,5.672192789961616,65.65460214507182,3,Medium,segment_81,North,0,-0.0037813762752703707
119,53,,2.1184680591569793,48.47954641007728,0,Medium,segment_73,East,0,0.03441861731109907
120,71,,2.5247659880197233,78.70920310696758,2,,segment_109,West,0,-0.10780962250154158
121,25,55370.70157614534,8.011591592579492,106.44107999779168,2,Medium,segment_80,West,0,-0.003980717169073256
122,50,24747.280249439067,18.45081053585083,54.908778020563624,1,Medium,segment_62,North,0,-0.043879248347781834
123,20,95448.1717720414,1.7605738379592468,67.60189899096494,2,Very High,segment_20,South,0,0.07347540251014538
124,21,149420.55308806163,8.622801506013953,158.24538080658388,4,Low,segment_96,West,0,0.024511803459960617
125,64,11865.168693395623,2.0883619101306694,40.28833850671277,2,Medium,segment_20,West,0,0.14986225941264925
126,71,52558.02042124233,2.1589284695803532,78.81676995649129,3,High,segment_18,North,0,0.1730997648624085
127,46,31239.467389744204,1.4583964311276219,85.32316458881606,0,Very High,segment_146,South,1,1.0162954063242444
128,37,122009.82617954173,6.175253560214484,72.18759875995558,2,Medium,segment_26,South,0,0.15335984374031325
129,78,72816.23944738846,3.209539429242296,158.53203495540222,1,Very High,segment_133,South,0,-0.06630575479530591
130,23,14388.288367509092,1.9873439500571781,44.88403601494063,3,Very Low,segment_40,North,1,0.9425644570678661
131,63,179352.234584366,43.476546259784,102.41731248287442,2,Low,segment_134,South,0,-0.02953178798894329
132,39,,2.440979658157689,25.323391829241277,0,,segment_95,North,0,-0.08810684360779832
133,68,,12.522589902035383,30.956272575068123,3,,segment_92,East,0,-0.06085763332390768
134,58,7178.316154754899,1.7228304599369089,186.3779995561869,1,Medium,segment_80,North,1,0.9162216857195373
135,39,21874.56952887574,0.2772060973351456,60.56788113708494,2,Medium,segment_22,North,1,1.1628492413742526
136,76,,1.7006882334619933,15.8236102159403,1,,segment_64,South,0,-0.0012348023965041872
137,33,46178.6400360938,9.343145305381249,84.41486252375493,3,High,segment_130,East,0,-0.06489333850433208
138,59,49498.329219970205,1.200735947876536,65.19951181356947,2,High,segment_63,South,1,0.9773282956455693
139,35,36994.55550626364,1.2615654662686369,81.433307911873,1,High,segment_66,South,0,0.03361968910085373
140,30,34840.166073370405,8.525804325333636,64.73843910580563,4,Low,segment_11,West,1,0.8797624382202832
141,27,140650.9209352025,2.696639913485661,42.91489216963698,2,High,segment_91,North,0,0.014356458866047342
142,79,115194.65409398208,8.169369527346289,15.105275468486115,1,Medium,segment_113,South,0,-0.04820094222716533
143,31,67286.71041548737,7.78290600753216,78.25674609331097,4,Medium,segment_150,West,0,-0.03914901056304538
144,74,43778.44394829785,1.7399813165544866,42.48247475065029,1,Low,segment_58,South,0,-0.06478952758497462
145,68,,3.869139710826189,33.79000091727412,2,,segment_149,North,0,-0.06552184731043652
146,28,27393.61149158241,3.2036016077449356,52.87611298204591,0,High,segment_105,North,0,0.03142611431437752
147,33,67852.16542130118,0.8895330228680624,,2,Medium,segment_35,South,0,-0.06995662633694533
148,38,37821.00381049664,19.511645229501507,63.77175970500396,2,High,segment_71,North,0,-0.09099744554112726
149,49,35646.51372609296,0.09841925017702864,58.408172454694004,3,Medium,segment_10,North,1,0.9648864090075451
150,29,,3.3248088523486965,163.75511385345018,3,,segment_64,East,1,1.0863383305039962
151,66,63932.96180429272,9.031298094472119,82.59295993445281,0,Medium,segment_22,East,0,0.0982840745136721
152,50,53869.884343863174,1.6765806605470748,75.52939746927402,0,High,segment_123,North,0,0.1251176950862131
153,44,22694.20863739241,7.170648016700197,105.83614731871174,0,High,segment_111,South,0,-0.1770814796138386
154,70,52001.398897941115,0.48309593673994194,64.83022426851464,2,Medium,segment_114,South,1,1.1792118469700688
155,23,73009.35740372917,0.7187867518612275,63.720767296605324,1,Very Low,segment_74,South,0,-0.16168972215908495
156,74,138207.18805192292,0.7385737456078116,53.557233165894445,2,High,segment_102,North,0,0.07003666332981137
157,60,111685.23100016711,14.417232150940707,221.8923566769552,2,High,segment_140,North,0,-0.10604492971951114
158,57,,1.6283795566432275,30.894512081654778,0,,segment_108,East,0,-0.0366615653054651
159,50,14280.67059835191,0.18860515143159745,99.15565741920398,2,Very Low,segment_95,East,1,0.9827910973574071
