customer_id,age,income,tenure_years,monthly_usage,education_level,customer_segment,region,annual_customer_value,future_discount_applied
1,18,,14.440568772469938,155.33207589507293,Master,segment_13,North,11273.442537393805,204.85285329928283
2,18,95995.28683765663,0.24825513236040114,22.46560594036941,Bachelor,segment_74,North,6408.49039488689,55.69178631744349
3,67,70092.92634549054,9.625033206073958,195.20308330535835,Bachelor,segment_75,South,8550.323558975799,77.92079953479193
4,64,89249.664825068,0.6777530091028874,186.82906143733686,High School,segment_74,North,4553.0383847477515,127.85439206283206
5,37,51381.57339288742,6.999693297524251,86.45363005819242,High School,segment_68,North,4491.894204571002,96.42125070655615
6,53,84924.10039037137,0.6091585117550725,123.18545803981657,High School,segment_38,East,3898.823466093584,132.5765007122114
7,63,77468.39413404776,21.084264516495143,108.31132652192179,High School,segment_31,North,6904.398963597095,154.02737766458006
8,59,38751.953858590736,3.2413923128043285,70.67571689352998,High School,segment_32,South,3634.6884320819486,57.69864995832098
9,61,,12.46167161615923,99.08820113522847,Bachelor,segment_8,East,10177.968735236964,246.1478968680625
10,47,35149.19437272681,5.798179520403646,96.21769186352589,Bachelor,segment_20,North,6955.426735997828,78.17099675462015
11,68,17407.40916281293,1.5962633793472363,38.886475092268995,Bachelor,segment_80,West,4926.057673576352,21.859696381384467
12,44,23217.28535173732,0.4510382671004492,85.21148690995552,High School,segment_46,North,1916.164818993493,96.94408647373757
13,21,63906.19310454699,2.998197313099318,87.79487978944798,Bachelor,segment_79,West,6782.382261102456,183.30664294011484
14,47,41124.58125792037,1.6570489726336943,134.34898580410757,Master,segment_25,North,8057.148343562426,215.0240243139367
15,51,,22.31002088815716,202.5594688893774,PhD,segment_25,South,14123.190698367876,323.0638243946544
16,41,64366.4905158041,12.922148226718626,93.81144727823346,Bachelor,segment_39,North,8341.8044972248,153.82763330254085
17,33,100820.70440633582,0.36758828927199383,63.35489360500709,PhD,segment_34,South,10836.880537812318,240.74850241398977
18,28,,,43.857832572649905,PhD,segment_82,South,10282.958763911247,134.55012757065631
19,52,111878.17531015891,0.7799164255099533,41.19730441419327,High School,segment_100,North,4815.794470795043,86.08012537233846
20,35,,,202.3606540903943,High School,segment_16,North,4950.848924360338,51.52648673062854
21,47,37221.30340190284,6.703063539451467,63.99008509141214,High School,segment_89,North,4078.4222286424806,13.127170101459186
22,63,69292.5853334811,13.860615462145343,212.0460295963969,High School,segment_95,West,7715.0842023628675,126.9162066222537
23,58,31958.324047726735,6.079749890985108,102.11812370623073,Bachelor,segment_1,West,6624.451387354617,31.315262373174733
24,74,,,122.07855779426295,High School,segment_94,North,4008.8300521052497,63.839841921694216
25,60,35956.206705997254,17.085012871118074,83.40523801695284,High School,segment_97,South,5219.944438998649,120.05384500403143
26,73,49007.23858869262,14.65620300341865,125.06370598031451,High School,segment_25,East,6348.681151674758,126.84661977175382
27,21,,,34.58330947064148,High School,segment_73,South,3864.492288140105,88.1230495117619
28,27,40121.299918942605,3.703764050307294,148.6429390492352,Bachelor,segment_23,North,7426.000954945417,244.0339896743786
29,51,24201.289054825767,0.36764738445152106,133.72266879285337,High School,segment_58,East,2280.194783984424,-52.60414832761067
30,33,20424.203739438097,20.4724149235208,50.1825787424194,Master,segment_17,East,9694.253686522172,147.7621878027121
31,21,61796.71511398575,7.8316288366568445,91.73709363841866,Bachelor,segment_44,West,8471.985112706463,179.94228712365768
32,35,,,120.62564483371261,High School,segment_2,North,7892.528120423259,190.47341573706743
33,46,44788.95508258443,4.655955632657209,145.73514708576275,Bachelor,segment_49,North,7088.770472829921,113.4131388643956
34,59,,,122.56159088592369,Bachelor,segment_36,West,7795.163108148774,150.69049763054335
35,47,29715.078426174376,2.4907347147846823,91.07126927607192,Bachelor,segment_64,North,6182.126589637411,48.86721114417334
36,31,14648.424472172566,7.187342019508984,6.935042141382736,Bachelor,segment_42,West,6069.855944385081,148.62998052526265
37,31,72121.0336529216,1.2544681317834498,,High School,segment_55,North,5584.105031612199,139.4306480849023
38,60,,,53.15830153380777,Master,segment_44,North,10831.761248130902,237.13834501844326
39,49,31159.77156547466,9.69499941244435,,Bachelor,segment_63,East,6416.697836442211,180.59610713843296
40,22,23563.481834821607,5.78606452233182,50.0378271924886,Bachelor,segment_78,West,6495.613597305722,228.29011061930396
41,28,25589.249870137308,4.5384983665976995,17.3316446563373,High School,segment_92,North,2812.2894822808244,84.37908795629264
42,21,,,,Bachelor,segment_100,West,7780.173928962991,76.04174839391835
43,70,279909.3197373079,0.5567464662115152,142.56710732222007,High School,segment_71,North,10068.599857723759,218.80249931030264
44,41,33270.53571906544,2.612618299441476,88.63613998334299,Bachelor,segment_86,South,5748.507206741694,4.637414973750921
45,51,88872.27573274454,0.2612799801026866,205.91167443461785,Master,segment_23,East,9112.81867947128,240.14553128321637
46,30,,3.512315909344378,106.54347377410745,Bachelor,segment_29,West,5907.838246502514,89.33333891447721
47,29,69260.1718155631,1.1958786982834502,85.11634561025608,Bachelor,segment_33,West,6202.389960960906,95.60876794812694
48,51,33986.01884488296,3.3719431029010734,42.29915055943175,High School,segment_49,North,3441.0216647887046,149.74954295055747
49,23,,,67.51824763346042,Bachelor,segment_34,South,8265.843715922729,209.2392631465911
50,44,23281.575579760243,0.020419690557157442,102.23991370124102,Bachelor,segment_86,East,4444.662745925277,167.06020901054688
51,20,,,30.475782876073822,High School,segment_74,South,4640.700009282407,73.31930770801877
52,49,,8.42853587702313,114.25865134118878,Bachelor,segment_32,South,7058.501748131054,168.59145119395944
53,35,21988.21572130865,1.5207552116945342,45.3536801678887,Bachelor,segment_84,West,5095.15227657982,102.44123713534066
54,33,53596.128922078955,12.187241239230842,116.02313380839922,Bachelor,segment_28,East,8944.163869915044,233.115180794144
55,51,281914.1146199399,11.30059429678281,14.329048639155328,PhD,segment_59,South,20991.53056870878,418.6396150333909
56,25,10711.064659748674,25.045874732005608,84.01591450563295,Master,segment_45,North,9409.977496758313,173.734576489672
57,44,,,42.46990995545239,Bachelor,segment_86,South,8448.584736871791,40.089470134125975
58,39,,6.794045577514748,19.992208936245063,Master,segment_83,West,12449.422044513725,222.16888474290246
59,74,,,157.5180627322789,High School,segment_73,North,8125.35970719174,163.46821449848886
60,21,29643.323547151176,0.45153453349263983,54.0065653254646,High School,segment_36,South,1680.0398804564704,48.9255742225822
61,70,37700.259852960065,8.897089527420665,72.924336134566,Bachelor,segment_50,South,7661.8068588669,233.39753058330024
62,32,,,72.39836812123845,Bachelor,segment_71,North,5777.268819755042,95.26608076122169
63,19,26327.97835147052,17.964652681793297,47.09470326828752,Bachelor,segment_26,West,6837.611004433269,226.08353438841482
64,65,145132.66769831086,3.692594365655663,172.8613875365575,Master,segment_64,North,13851.724828101589,255.5212140438339
65,57,50953.06806673112,4.335707866797305,,Master,segment_61,South,9049.291943157637,156.91913771441256
66,19,,,151.01157593008364,Bachelor,segment_24,North,6847.616113322541,184.37118607621593
67,55,29537.646908161758,0.637572259747285,177.6737251379336,High School,segment_10,North,2754.510479572139,-46.5744610648781
68,40,36507.13068263445,11.964662570274692,102.40310309346228,Master,segment_9,North,9489.523349902842,139.45000691704914
69,71,47384.747650130535,1.3621651132684671,236.59286596203944,High School,segment_20,East,4780.2510940291695,106.96989355766493
70,31,,,30.892853100789488,Bachelor,segment_21,East,5931.932574925614,87.3563933536732
71,29,32658.771490548912,7.499089812405019,160.23956084962617,PhD,segment_32,North,11713.10751586048,220.61616185309663
72,21,22041.29621337692,0.7305513338250768,145.06583416796846,PhD,segment_57,North,9979.919848579782,262.9111136121505
73,28,101944.84231983274,10.109382337117687,39.09386367396464,High School,segment_34,East,6886.6986958940915,146.09052655112833
74,51,,,97.41064545212198,High School,segment_15,North,3289.5230441227327,-45.42647997703112
75,48,50130.241321015295,3.355643322669827,138.78758333275138,Bachelor,segment_81,North,7568.061008448291,104.21188218820573
76,71,17809.74560710777,10.504424908575903,77.02512948494372,High School,segment_50,North,4081.803217346805,82.11883287977935
77,46,7575.934102281454,1.8265262640255089,60.83745918034546,Bachelor,segment_2,East,4906.907532137809,71.31019176772621
78,56,26664.497857353406,2.1688526732090296,86.84921702530944,Master,segment_96,South,7878.7190946001265,177.17225640229236
79,49,80935.25850535852,1.7955491638148984,53.91327978121347,High School,segment_6,East,3888.1647608024873,20.58915202484482
80,54,,,56.01424857194979,Master,segment_12,North,12169.781950305165,225.8668819516945
81,18,,,178.16428909257453,Master,segment_70,North,10715.00533105579,204.21853692507605
82,34,12433.594652247488,2.735118117735584,25.91174676120389,High School,segment_62,West,2377.8137701953697,13.135901935804966
83,52,40195.89217692523,10.685554563011086,282.9493835232544,Bachelor,segment_5,North,9365.31339015696,132.28582584944812
84,19,36434.243077148116,11.112975116999248,105.0573810202121,High School,segment_28,West,5419.358533834346,167.3555225565103
85,21,,6.252093284053908,71.9369826476467,Bachelor,segment_80,North,7882.662155168856,180.01930558569347
86,68,46692.57343723376,1.3988466611360693,,High School,segment_37,East,3175.619483353838,112.93132817144416
87,23,25763.799686606424,5.662708893241435,26.822949384952004,PhD,segment_65,North,10225.1164515823,263.4252257063596
88,43,,,172.08740416384697,Bachelor,segment_19,North,7890.104577930947,129.84635503656023
89,50,,12.126627243812546,20.436901016387058,Bachelor,segment_75,North,7329.064801694809,121.73156866066014
90,56,123934.63948963981,6.66098175024465,34.92190052782088,Bachelor,segment_15,East,9388.10655038793,151.84640700302253
